Nome do Veэculo;;Nome da Conta;;Data do Recebimento;;Data da Posiчуo;Posiчуo;Igniчуo;Latitude;Longitude;;Aчуo;;Velocidade;Nэvel da Bateria (%);;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:46:52;;13/02/2024 23:58:54;"140,70 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 50' 55'' Sul;63А 32' 39'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:46:02;;13/02/2024 23:56:52;"140,87 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 50' 57'' Sul;63А 32' 34'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:46:02;;13/02/2024 23:54:51;"141,05 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 50' 58'' Sul;63А 32' 28'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;14/02/2024 00:10:08;;13/02/2024 23:52:50;"141,22 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 00'' Sul;63А 32' 23'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:46:02;;13/02/2024 23:51:53;"141,30 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 01'' Sul;63А 32' 20'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:46:02;;13/02/2024 23:49:52;"141,48 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 03'' Sul;63А 32' 15'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;14/02/2024 01:38:29;;13/02/2024 23:47:51;"141,65 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 06'' Sul;63А 32' 10'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:46:02;;13/02/2024 23:45:54;"141,82 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 07'' Sul;63А 32' 05'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:46:02;;13/02/2024 23:43:53;"141,99 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 10'' Sul;63А 31' 60'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:45:12;;13/02/2024 23:41:52;"142,17 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 12'' Sul;63А 31' 55'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:45:12;;13/02/2024 23:39:51;"142,33 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 14'' Sul;63А 31' 50'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:41:48;;13/02/2024 23:37:50;"142,48 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 14'' Sul;63А 31' 44'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:45:12;;13/02/2024 23:36:54;"142,56 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 15'' Sul;63А 31' 42'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:45:12;;13/02/2024 23:34:53;"142,71 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 15'' Sul;63А 31' 36'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;14/02/2024 00:25:08;;13/02/2024 23:32:52;"142,86 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 14'' Sul;63А 31' 31'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:45:12;;13/02/2024 23:30:55;"142,99 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 15'' Sul;63А 31' 27'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:45:12;;13/02/2024 23:28:53;"143,13 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 15'' Sul;63А 31' 22'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:45:12;;13/02/2024 23:26:51;"143,23 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 14'' Sul;63А 31' 18'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:44:21;;13/02/2024 23:24:50;"143,32 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 19'' Sul;63А 31' 17'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:31:48;;13/02/2024 23:22:50;"143,44 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 23'' Sul;63А 31' 14'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:44:21;;13/02/2024 23:21:53;"143,51 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 24'' Sul;63А 31' 12'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:44:21;;13/02/2024 23:19:52;"143,65 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 25'' Sul;63А 31' 07'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;14/02/2024 00:19:19;;13/02/2024 23:17:51;"143,78 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 26'' Sul;63А 31' 04'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:42:42;;13/02/2024 23:15:54;"143,89 Km ESE De TEFE, AM, 5,0 Km/h";Ligada;03А 51' 31'' Sul;63А 31' 02'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:42:42;;13/02/2024 23:13:53;"144,01 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 35'' Sul;63А 30' 59'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:52;;13/02/2024 23:11:52;"144,13 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 39'' Sul;63А 30' 57'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:52;;13/02/2024 23:09:51;"144,25 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 42'' Sul;63А 30' 54'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:23:28;;13/02/2024 23:07:50;"144,37 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 43'' Sul;63А 30' 50'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:52;;13/02/2024 23:06:54;"144,42 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 43'' Sul;63А 30' 48'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:51;;13/02/2024 23:04:53;"144,54 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 44'' Sul;63А 30' 45'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;14/02/2024 00:18:28;;13/02/2024 23:02:52;"144,64 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 43'' Sul;63А 30' 41'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:51;;13/02/2024 23:00:53;"144,73 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 44'' Sul;63А 30' 38'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:51;;13/02/2024 22:58:52;"144,81 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 48'' Sul;63А 30' 36'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:51;;13/02/2024 22:56:51;"144,92 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 48'' Sul;63А 30' 33'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:54:50;"145,02 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 49'' Sul;63А 30' 29'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:17:38;;13/02/2024 22:52:50;"145,10 Km ESE De TEFE, AM, 2,0 Km/h";Ligada;03А 51' 49'' Sul;63А 30' 27'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:51:54;"145,14 Km ESE De TEFE, AM, 2,0 Km/h";Ligada;03А 51' 49'' Sul;63А 30' 26'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:49:53;"145,22 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 48'' Sul;63А 30' 22'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;14/02/2024 00:15:08;;13/02/2024 22:47:51;"145,31 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 50'' Sul;63А 30' 20'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:45:54;"145,40 Km ESE De TEFE, AM, 2,0 Km/h";Ligada;03А 51' 53'' Sul;63А 30' 18'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:43:53;"145,48 Km ESE De TEFE, AM, 4,0 Km/h";Ligada;03А 51' 51'' Sul;63А 30' 14'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:41:52;"145,57 Km ESE De TEFE, AM, 2,0 Km/h";Ligada;03А 51' 50'' Sul;63А 30' 11'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:39:51;"145,65 Km ESE De TEFE, AM, 2,0 Km/h";Ligada;03А 51' 51'' Sul;63А 30' 08'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:08:28;;13/02/2024 22:37:50;"145,74 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 53'' Sul;63А 30' 06'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:41:02;;13/02/2024 22:36:54;"145,79 Km ESE De TEFE, AM, 3,0 Km/h";Ligada;03А 51' 54'' Sul;63А 30' 05'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:40:12;;13/02/2024 22:34:52;"145,88 Km ESE De TEFE, AM, 2,0 Km/h";Ligada;03А 51' 53'' Sul;63А 30' 01'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;14/02/2024 00:00:10;;13/02/2024 22:32:51;"46,67 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 54'' Sul;63А 29' 58'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:40:12;;13/02/2024 22:30:54;"46,60 Km ONO De COARI, AM, 2,0 Km/h";Ligada;03А 51' 54'' Sul;63А 29' 55'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:40:12;;13/02/2024 22:28:53;"46,57 Km ONO De COARI, AM, 2,0 Km/h";Ligada;03А 51' 52'' Sul;63А 29' 53'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:39:22;;13/02/2024 22:26:52;"46,50 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 51'' Sul;63А 29' 50'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:39:22;;13/02/2024 22:24:51;"46,41 Km ONO De COARI, AM, 2,0 Km/h";Ligada;03А 51' 51'' Sul;63А 29' 46'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:06:48;;13/02/2024 22:22:50;"46,33 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 53'' Sul;63А 29' 44'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:33:31;;13/02/2024 22:21:52;"46,27 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 55'' Sul;63А 29' 43'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;17/02/2024 15:39:22;;13/02/2024 22:21:52;"46,27 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 55'' Sul;63А 29' 43'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:33:31;;13/02/2024 22:19:51;"46,15 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 57'' Sul;63А 29' 40'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:46:48;;13/02/2024 22:17:50;"46,05 Km ONO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 57'' Sul;63А 29' 36'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:33:31;;13/02/2024 22:15:53;"45,95 Km ONO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 59'' Sul;63А 29' 33'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:33:31;;13/02/2024 22:13:52;"45,87 Km ONO De COARI, AM, 2,0 Km/h";Ligada;03А 51' 58'' Sul;63А 29' 30'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 22:11:51;"45,80 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 57'' Sul;63А 29' 27'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 22:09:50;"45,73 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 55'' Sul;63А 29' 23'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 22:36:48;;13/02/2024 22:07:50;"45,65 Km ONO De COARI, AM, 2,0 Km/h";Ligada;03А 51' 55'' Sul;63А 29' 20'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 22:06:54;"45,61 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 55'' Sul;63А 29' 18'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 22:04:53;"45,53 Km ONO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 54'' Sul;63А 29' 14'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:45:12;;13/02/2024 22:02:51;"45,43 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 55'' Sul;63А 29' 11'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 22:00:54;"45,34 Km ONO De COARI, AM, 2,0 Km/h";Ligada;03А 51' 56'' Sul;63А 29' 08'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 21:58:53;"45,25 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 56'' Sul;63А 29' 05'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 21:56:51;"45,13 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 58'' Sul;63А 29' 02'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 21:54:50;"45,06 Km ONO De COARI, AM, 5,0 Km/h";Ligada;03А 51' 57'' Sul;63А 28' 58'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 22:35:08;;13/02/2024 21:52:50;"44,98 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 55'' Sul;63А 28' 54'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 21:51:53;"44,92 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 56'' Sul;63А 28' 52'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 21:49:52;"44,84 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 55'' Sul;63А 28' 48'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:44:18;;13/02/2024 21:47:51;"44,76 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 54'' Sul;63А 28' 44'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 21:45:54;"44,68 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 53'' Sul;63А 28' 41'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:32:41;;13/02/2024 21:43:53;"44,58 Km ONO De COARI, AM, 2,0 Km/h";Ligada;03А 51' 54'' Sul;63А 28' 37'' Oeste;;Ver no mapa;;2;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:41:52;"44,53 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 53'' Sul;63А 28' 35'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:39:51;"44,46 Km ONO De COARI, AM, 1,0 Km/h";Ligada;03А 51' 53'' Sul;63А 28' 32'' Oeste;;Ver no mapa;;1;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 22:20:08;;13/02/2024 21:37:50;"44,44 Km ONO De COARI, AM, 1,0 Km/h";Ligada;03А 51' 52'' Sul;63А 28' 30'' Oeste;;Ver no mapa;;1;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:36:54;"44,40 Km ONO De COARI, AM, 3,0 Km/h";Ligada;03А 51' 53'' Sul;63А 28' 30'' Oeste;;Ver no mapa;;3;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:34:51;"44,38 Km ONO De COARI, AM, 5,0 Km/h";Ligada;03А 51' 52'' Sul;63А 28' 28'' Oeste;;Ver no mapa;;5;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;13/02/2024 23:42:38;;13/02/2024 21:32:50;"44,45 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 46'' Sul;63А 28' 27'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:30:53;"44,36 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 45'' Sul;63А 28' 23'' Oeste;;Ver no mapa;;4;-;;;
CAP. BRAVO 6;;LMNAVEGACAOETRANSPORTELTDA0145;;16/02/2024 23:31:51;;13/02/2024 21:28:52;"44,27 Km NO De COARI, AM, 4,0 Km/h";Ligada;03А 51' 44'' Sul;63А 28' 19'' Oeste;;Ver no mapa;;4;-;;;
