placa;marca;frota;ano;chassi;tipovi;Carroceria;cor;CIDADE ESTADO
BWE-0650;REB/RODOVIARIA;;1974;0 2174;REBOQUE C/A CTAINER;REB/RODOVIARIA;PRETA;BENEVIDES-PA
JTC-2B31;REB/FNV-FRUEHAUF;Nº 01;1986;09402MG REM;REBOQUE C/A;REB/FNV-FRUEHAUF;PRETA;BELÉM-PA
JTU-0H33;REB/FNV-FRUEHAUF;Nº 03;1989;9AFP12630KF000597;REBOQUE C/A;REB/FNV-FRUEHAUF;PRETA;BELÉM-PA
BWQ-3318;SR/RANDON;;1992;9ADD10720MS091705;REBOQUE C/A;SR/RANDON;VERMELHA;BELÉM-PA
HOX-4B81;REB/RANDON SR GR TR;Nº 06;1992;9ADG12430NS096737;REBOQUE C/A;REB/RANDON SR GR TR;PRETA;BELÉM-PA
JKR-1048;REB/RANDON SR GR TR;;1993;9ADG12430PS099112;REBOQUE C/A;REB/RANDON SR GR TR;BRANCA;BELÉM-PA
JJZ-0B31;SR/RANDON SR CA;N° 09;1998;9ADG1243WWM139728;REBOQUE C/A;SR/RANDON SR CA;CINZA;BELÉM-PA
JTT-5F34;REB/SCHIFFER;;1998;9A9071330WSAC6107;REBOQUE C/A;REB/SCHIFFER;PRETA;BELÉM-PA
JTU-8E87;SR/RANDON SR CA;;1998;9ADG1243WWM139478;REBOQUE C/A;SR/RANDON SR CA;PRETA;BELÉM-PA
MNW-8D82;SR/RANDON SR CA;;1998;9ADG1243WWS134748;REBOQUE C/A CTAINER;SR/RANDON SR CA;BRANCA;BELÉM-PA
JTT-4E02;REB/FORTES F3;Nº 10;1999;9A9F31022XGDD8398;REBOQUE C/A;REB/FORTES F3;PRETA;BELÉM-PA
MQZ-7I20;SR/RANDON SR CA;;1999;9ADG1243XWS143000;REBOQUE C/A CTAINER;SR/RANDON SR CA;BRANCA;BELÉM-PA
MXT-0F32;SR/RANDON SR CA;;2000;9ADG1243YYM150816;REBOQUE C/A CTAINER;SR/RANDON SR CA;BRANCA;BELÉM-PA
JVC-7291;SR/RANDON;;2005;9ADG124366M227187;REBOQUE C/A;SR/RANDON;BRANCA;ANANINDEUA-PA
NFT-7D02;SR/GUERRA AG CS;Nº 12;2005;9AA07132G5C056230;REBOQUE C/A;SR/GUERRA AG CS;PRETA;BELÉM-PA
NFT-9D23;SR/GUERRA AG CS;Nº 11;2005;9AA07143G5C057015;REBOQUE C/A;SR/GUERRA AG CS;CINZA;BELÉM-PA
JVC-7271;SR/RANDON;;2006;9ADG124366M227191;REBOQUE C/A;SR/RANDON;BRANCA;BENEVIDES-PA
JVL-6J61;SR/GUERRA AG CS;Nº 15;2007;9AA07132G7C066776;REBOQUE C/A;SR/GUERRA AG CS;CINZA;BELÉM-PA
OTJ-4672;SR/RANDON SR CC;Nº 16;2012;9ADK1353CCM357132;REBOQUE C/A CTAINER;SR/RANDON SR CC;PRETA;BELÉM-PA
QDI-4229;SR/GUERRA AG PC;;2014;9AA09153GFC133742;REBOQUE C/A;SR/GUERRA AG PC;CINZA;BELÉM-PA
QDI-4319;SR/GUERRA AG PC;Nº 18;2014;9AA09153GFC133743;REBOQUE C/A;SR/GUERRA AG PC;CINZA;BELÉM-PA
QDA-0186;SR/GUERRA AG PC;Nº 20;2015;9AA09153GFC136482;REBOQUE C/A;SR/GUERRA AG PC;CINZA;BELÉM-PA
QDA-0226;SR/GUERRA AG PC;Nº 19;2015;9AA09123GFC136483;REBOQUE C/A;SR/GUERRA AG PC;CINZA;BELÉM-PA
QVP-4A01;RODOFORT/SR ;Nº 21;2021;95TP1243LMS101951;REBOQUE C/A CTAINER;RODOFORT/SR ;PRETA;BELÉM-PA
QVP-4A31;RODOFORT/SR ;Nº 23;2021;95TP1243LMS101952;REBOQUE C/A CTAINER;RODOFORT/SR ;PRETA;BELÉM-PA
QVP-4A41;RODOFORT/SR ;Nº 22;2021;95TP1243LMS101953;REBOQUE C/A CTAINER;RODOFORT/SR ;PRETA;BELÉM-PA
